epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3695,1.56345,1.68831,1.12712,0.70639,0.59787,0.65448,0.37274,1.42263,1.24702,1.08655,0.0004732,0.0004732,0.0004732
2,49.7693,1.43502,1.01469,1.07664,0.89713,0.75573,0.82153,0.4837,1.34372,0.84187,1.01099,0.000930732,0.000930732,0.000930732
3,73.8267,1.40922,0.93328,1.0493,0.78738,0.71226,0.77175,0.43191,1.35995,0.94722,1.02491,0.0013694,0.0013694,0.0013694
4,97.7646,1.38351,0.91349,1.04954,0.89967,0.76361,0.8351,0.49378,1.28169,0.81403,0.9859,0.00134412,0.00134412,0.00134412
5,118.78,1.35058,0.87155,1.03658,0.93626,0.7657,0.84132,0.52529,1.28092,0.73314,0.98031,0.00131582,0.00131582,0.00131582
6,142.858,1.32029,0.81852,1.02327,0.95834,0.77491,0.85678,0.52722,1.2567,0.68852,0.96353,0.00128753,0.00128753,0.00128753
7,163.672,1.27906,0.79335,1.00976,0.94438,0.7935,0.87295,0.53129,1.28537,0.67064,0.95821,0.00125923,0.00125923,0.00125923
8,187.637,1.24221,0.7582,0.99268,0.93089,0.79283,0.86689,0.54858,1.20562,0.64438,0.9466,0.00123094,0.00123094,0.00123094
9,207.27,1.23927,0.74889,0.99101,0.93187,0.80951,0.8668,0.55572,1.19057,0.65931,0.94283,0.00120265,0.00120265,0.00120265
10,229.287,1.21433,0.72191,0.98431,0.94885,0.80823,0.87902,0.576,1.13119,0.59722,0.9209,0.00117435,0.00117435,0.00117435
11,240.264,1.19316,0.70635,0.97811,0.94384,0.82065,0.88826,0.58171,1.11226,0.57938,0.90927,0.00114606,0.00114606,0.00114606
12,265.541,1.17556,0.68076,0.96778,0.96241,0.82124,0.89669,0.58587,1.11295,0.56862,0.90614,0.00111776,0.00111776,0.00111776
13,291.885,1.16586,0.67757,0.97097,0.95809,0.80436,0.89124,0.58916,1.11692,0.57231,0.91539,0.00108947,0.00108947,0.00108947
14,318.385,1.14957,0.66807,0.96116,0.9356,0.83276,0.88593,0.58092,1.14187,0.56956,0.92586,0.00106118,0.00106118,0.00106118
15,338.84,1.13339,0.65112,0.96059,0.95215,0.84671,0.90171,0.60711,1.08458,0.52615,0.90408,0.00103288,0.00103288,0.00103288
16,359.476,1.12686,0.64175,0.96226,0.94052,0.82937,0.89452,0.60478,1.08697,0.53333,0.9008,0.00100459,0.00100459,0.00100459
17,374.951,1.12091,0.63209,0.95494,0.95667,0.8562,0.91213,0.6223,1.06104,0.51154,0.8979,0.000976293,0.000976293,0.000976293
18,401.354,1.1045,0.6199,0.95325,0.94678,0.86096,0.90866,0.60624,1.08332,0.5133,0.89842,0.000947999,0.000947999,0.000947999
