epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1248,1.05825,1.49007,1.22338,0.63868,0.55027,0.66557,0.48949,1.08497,1.00691,1.08084,0.000331944,0.000331944,0.000331944
2,27.2851,0.92838,0.94185,1.14839,0.59732,0.55765,0.63914,0.47159,1.09888,0.79785,1.10413,0.000654301,0.000654301,0.000654301
3,40.0515,0.91519,0.88761,1.14074,0.94671,0.5686,0.63904,0.4598,1.07747,0.86993,1.06532,0.000965657,0.000965657,0.000965657
4,52.6248,0.9089,0.87422,1.13292,0.81869,0.47935,0.69413,0.52475,1.06357,0.93377,1.08559,0.0009505,0.0009505,0.0009505
5,65.1652,0.87599,0.81554,1.11581,0.81237,0.69711,0.75983,0.59331,0.99999,0.61264,1.05394,0.000934,0.000934,0.000934
6,77.7919,0.85232,0.78237,1.10618,0.78763,0.57492,0.63973,0.47707,1.01898,0.73442,1.06211,0.0009175,0.0009175,0.0009175
7,90.3531,0.82585,0.74778,1.09579,0.60813,0.56547,0.61401,0.46227,1.00847,0.88778,1.05952,0.000901,0.000901,0.000901
8,103.078,0.81528,0.72181,1.09152,0.58407,0.66462,0.65212,0.49064,0.9946,0.639,1.06089,0.0008845,0.0008845,0.0008845
9,115.672,0.79679,0.70623,1.08337,0.81106,0.57312,0.65486,0.49171,1.02526,0.65934,1.05995,0.000868,0.000868,0.000868
10,128.294,0.80237,0.7066,1.08487,0.7973,0.56991,0.66904,0.511,1.00488,0.66445,1.04652,0.0008515,0.0008515,0.0008515
11,140.473,0.78849,0.68661,1.07635,0.64051,0.62803,0.65753,0.49904,1.01102,0.8018,1.04055,0.000835,0.000835,0.000835
12,151.472,0.77573,0.67651,1.07361,0.77714,0.71863,0.76373,0.59846,0.98448,0.65056,1.04567,0.0008185,0.0008185,0.0008185
13,164.021,0.77752,0.66085,1.07436,0.78333,0.53923,0.63345,0.47834,0.96593,0.775,1.04373,0.000802,0.000802,0.000802
14,176.86,0.76605,0.65554,1.06654,0.77253,0.60318,0.64702,0.4807,0.95725,0.61918,1.04871,0.0007855,0.0007855,0.0007855
15,189.56,0.76536,0.64496,1.06739,0.56905,0.61606,0.66216,0.51533,0.95355,0.75391,1.04565,0.000769,0.000769,0.000769
16,202.261,0.75551,0.63389,1.06678,0.8085,0.76346,0.82122,0.66386,0.98203,0.65602,1.06143,0.0007525,0.0007525,0.0007525
17,215.22,0.74651,0.62875,1.06118,0.62636,0.66679,0.65527,0.47254,1.05332,0.60554,1.08813,0.000736,0.000736,0.000736
18,228.051,0.75264,0.62479,1.06235,0.78149,0.60004,0.67341,0.50876,0.96501,0.59375,1.04829,0.0007195,0.0007195,0.0007195
19,240.914,0.747,0.6214,1.0598,0.66171,0.71094,0.68855,0.54524,0.94952,0.59095,1.03304,0.000703,0.000703,0.000703
20,253.683,0.73946,0.61085,1.05631,0.75502,0.62897,0.61556,0.45967,0.96964,0.59569,1.0317,0.0006865,0.0006865,0.0006865
21,266.464,0.73669,0.61091,1.05974,0.59932,0.69702,0.69089,0.52881,0.94819,0.58055,1.0342,0.00067,0.00067,0.00067
22,279.414,0.73854,0.60168,1.05644,0.75867,0.65443,0.65886,0.50578,0.9606,0.58944,1.037,0.0006535,0.0006535,0.0006535
23,292.434,0.73058,0.58807,1.05174,0.7914,0.57257,0.64549,0.48744,0.98038,0.62939,1.04844,0.000637,0.000637,0.000637
24,305.209,0.71861,0.57915,1.04787,0.76838,0.56009,0.64085,0.47856,0.98511,0.62259,1.06053,0.0006205,0.0006205,0.0006205
25,318.184,0.71939,0.57411,1.04739,0.5937,0.57493,0.60166,0.45936,0.93159,0.56168,1.03263,0.000604,0.000604,0.000604
26,331.119,0.70813,0.56913,1.04378,0.7214,0.66233,0.74821,0.59501,0.96714,0.65277,1.06394,0.0005875,0.0005875,0.0005875
27,344.063,0.71251,0.5652,1.04279,0.75296,0.62876,0.64729,0.50268,0.94507,0.57258,1.02783,0.000571,0.000571,0.000571
28,357.094,0.70854,0.56867,1.04582,0.54604,0.57015,0.60195,0.45604,0.97795,0.63151,1.04121,0.0005545,0.0005545,0.0005545
29,370.067,0.70746,0.56125,1.04253,0.80566,0.57558,0.64955,0.50151,0.94838,0.60893,1.0432,0.000538,0.000538,0.000538
30,383.063,0.70177,0.55522,1.0395,0.78599,0.58406,0.63503,0.4911,0.94422,0.58648,1.04134,0.0005215,0.0005215,0.0005215
31,396.251,0.69939,0.54713,1.03957,0.80836,0.59333,0.64904,0.48731,0.97472,0.54915,1.05419,0.000505,0.000505,0.000505
32,409.599,0.69555,0.54813,1.03828,0.57231,0.56697,0.60092,0.44705,0.98316,0.64658,1.05196,0.0004885,0.0004885,0.0004885
33,422.911,0.68853,0.53763,1.03472,0.81532,0.5867,0.65044,0.50119,0.95312,0.54423,1.03753,0.000472,0.000472,0.000472
34,436.233,0.68474,0.53364,1.03317,0.73507,0.64313,0.70407,0.55975,0.92784,0.58344,1.02712,0.0004555,0.0004555,0.0004555
35,449.637,0.68137,0.52933,1.0341,0.8755,0.61088,0.66303,0.50504,0.94426,0.55876,1.0425,0.000439,0.000439,0.000439
36,462.902,0.68422,0.52732,1.03261,0.5614,0.59225,0.61141,0.46595,0.95222,0.61823,1.04926,0.0004225,0.0004225,0.0004225
37,476.17,0.67465,0.5183,1.02688,0.63233,0.55929,0.63811,0.49006,0.94056,0.60909,1.04846,0.000406,0.000406,0.000406
38,489.515,0.67378,0.51439,1.03142,0.59208,0.57126,0.6236,0.47668,0.94569,0.58283,1.0429,0.0003895,0.0003895,0.0003895
39,502.68,0.66962,0.50819,1.02783,0.57929,0.59072,0.63453,0.4861,0.93893,0.69569,1.04254,0.000373,0.000373,0.000373
40,515.967,0.67003,0.50993,1.02811,0.60958,0.65784,0.6535,0.48877,0.95851,0.55291,1.04833,0.0003565,0.0003565,0.0003565
41,529.24,0.66416,0.50833,1.02361,0.78063,0.52593,0.62744,0.47748,0.94695,0.71123,1.04023,0.00034,0.00034,0.00034
42,542.713,0.66337,0.50128,1.02631,0.66242,0.63024,0.66397,0.51183,0.91533,0.60361,1.03076,0.0003235,0.0003235,0.0003235
43,556.245,0.65769,0.50244,1.02638,0.6414,0.58065,0.64431,0.49103,0.94725,0.56515,1.04328,0.000307,0.000307,0.000307
44,569.582,0.65994,0.49275,1.02373,0.60216,0.61827,0.64757,0.49708,0.9517,0.53511,1.05013,0.0002905,0.0002905,0.0002905
45,583.081,0.65238,0.48337,1.02111,0.58492,0.64252,0.63926,0.48903,0.93675,0.62912,1.04563,0.000274,0.000274,0.000274
46,596.661,0.64982,0.48107,1.02119,0.61133,0.62001,0.64392,0.49118,0.93958,0.60641,1.04014,0.0002575,0.0002575,0.0002575
47,610.302,0.64518,0.48527,1.02089,0.66117,0.68489,0.67883,0.50999,0.93076,0.52286,1.03302,0.000241,0.000241,0.000241
48,623.926,0.64425,0.48368,1.01676,0.61032,0.68313,0.66411,0.50555,0.92351,0.5337,1.03555,0.0002245,0.0002245,0.0002245
49,637.764,0.63373,0.46942,1.01406,0.63764,0.59121,0.65321,0.49568,0.93196,0.5848,1.03935,0.000208,0.000208,0.000208
50,651.537,0.63925,0.46758,1.01465,0.61476,0.66441,0.65356,0.49524,0.94662,0.60808,1.04444,0.0001915,0.0001915,0.0001915
51,665.728,0.49208,0.31652,1.00339,0.62251,0.55921,0.63646,0.48497,0.95566,0.66557,1.0397,0.000175,0.000175,0.000175
52,679.37,0.48172,0.30351,0.99345,0.60626,0.55677,0.64163,0.49237,0.94191,0.66147,1.0421,0.0001585,0.0001585,0.0001585
