epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.35971,1.76611,2.32239,1.04391,0.84868,0.92841,0.95439,0.58717,1.28855,0.79362,0.89035,0.000329966,0.000329966,0.000329966
2,19.0442,1.35059,0.80522,0.925,0.91937,0.93765,0.96464,0.61159,1.20211,0.70641,0.87337,0.000652355,0.000652355,0.000652355
3,36.3082,1.26247,0.7134,0.89907,0.93892,0.95343,0.97749,0.59993,1.23974,0.71624,0.88005,0.000963744,0.000963744,0.000963744
4,43.5939,1.28666,0.70398,0.90005,0.96303,0.96328,0.98567,0.58831,1.28827,0.68328,0.88036,0.0009505,0.0009505,0.0009505
5,54.6285,1.222,0.6543,0.89564,0.96788,0.95016,0.98942,0.66316,1.14925,0.59046,0.86684,0.000934,0.000934,0.000934
6,68.2487,1.20021,0.62439,0.88398,0.95903,0.94962,0.98876,0.67482,1.1169,0.62342,0.85806,0.0009175,0.0009175,0.0009175
7,75.5057,1.17357,0.61268,0.88343,0.98338,0.97298,0.9935,0.68357,1.1066,0.52362,0.85233,0.000901,0.000901,0.000901
8,86.0864,1.139,0.57191,0.87602,0.96381,0.97821,0.9907,0.66218,1.12979,0.54279,0.85347,0.0008845,0.0008845,0.0008845
9,96.659,1.14563,0.57799,0.87959,0.97997,0.98985,0.99372,0.66874,1.19309,0.57243,0.86732,0.000868,0.000868,0.000868
10,113.728,1.10885,0.55979,0.8708,0.99155,0.99129,0.99446,0.68075,1.13173,0.51198,0.85724,0.0008515,0.0008515,0.0008515
11,120.931,1.10267,0.5396,0.87076,0.98173,0.97763,0.99179,0.68502,1.06569,0.5201,0.84698,0.000835,0.000835,0.000835
12,131.341,1.10351,0.54013,0.86018,0.98935,0.99083,0.99433,0.70971,1.03857,0.49297,0.84349,0.0008185,0.0008185,0.0008185
13,148.837,1.09028,0.53215,0.86439,0.98651,0.96954,0.99063,0.65978,1.1386,0.51648,0.85342,0.000802,0.000802,0.000802
14,156.319,1.07251,0.52674,0.8644,0.98555,0.98796,0.99426,0.70538,1.08374,0.50221,0.84827,0.0007855,0.0007855,0.0007855
15,169.73,1.06289,0.51739,0.86253,0.98833,0.98948,0.9944,0.70704,1.05727,0.49653,0.84301,0.000769,0.000769,0.000769
16,176.484,1.06336,0.50104,0.86806,0.9911,0.97959,0.99321,0.70814,1.03557,0.47867,0.83984,0.0007525,0.0007525,0.0007525
17,193.657,1.0623,0.49867,0.86186,0.99327,0.97918,0.99341,0.71437,1.03298,0.4802,0.842,0.000736,0.000736,0.000736
18,211.881,1.0466,0.49224,0.85887,0.98665,0.99335,0.99414,0.71623,1.04599,0.46915,0.84122,0.0007195,0.0007195,0.0007195
19,229.811,1.0335,0.48811,0.86056,0.99157,0.98951,0.99466,0.71145,1.03791,0.46297,0.8424,0.000703,0.000703,0.000703
20,237.171,1.04573,0.48918,0.85766,0.99636,0.98952,0.99486,0.72625,1.02788,0.47028,0.83821,0.0006865,0.0006865,0.0006865
21,253.989,1.02796,0.48528,0.86121,0.99149,0.98466,0.99458,0.71462,1.04065,0.47582,0.84466,0.00067,0.00067,0.00067
22,260.756,1.02456,0.48374,0.86249,0.99043,0.99406,0.99497,0.72557,1.01104,0.45141,0.83984,0.0006535,0.0006535,0.0006535
23,277.25,1.0247,0.48419,0.85889,0.98793,0.98875,0.9948,0.71972,1.02805,0.48685,0.83804,0.000637,0.000637,0.000637
24,283.913,1.02038,0.47189,0.86158,0.99416,0.98663,0.99478,0.72479,1.00389,0.45568,0.83614,0.0006205,0.0006205,0.0006205
25,300.371,0.99663,0.46124,0.85576,0.98918,0.98379,0.99429,0.7249,0.99591,0.45378,0.83428,0.000604,0.000604,0.000604
26,307.169,1.00253,0.4619,0.85349,0.99209,0.99325,0.9949,0.7295,0.99191,0.45119,0.83775,0.0005875,0.0005875,0.0005875
27,323.635,0.99622,0.45336,0.85952,0.99266,0.99018,0.99484,0.72954,1.02351,0.43949,0.83909,0.000571,0.000571,0.000571
28,330.37,0.98949,0.45849,0.85182,0.99743,0.98443,0.99493,0.72461,1.02178,0.43514,0.83923,0.0005545,0.0005545,0.0005545
29,346.782,0.97897,0.45363,0.85476,0.99213,0.99416,0.99472,0.73959,0.98804,0.43311,0.83395,0.000538,0.000538,0.000538
30,353.496,0.97615,0.45303,0.8497,0.9922,0.98877,0.99485,0.7382,0.98285,0.42069,0.83383,0.0005215,0.0005215,0.0005215
31,369.839,0.95966,0.4372,0.85664,0.99412,0.99435,0.99499,0.74019,1.00028,0.4298,0.83601,0.000505,0.000505,0.000505
32,386.305,0.97794,0.44265,0.84924,0.99612,0.99241,0.99452,0.73014,1.00837,0.44265,0.8381,0.0004885,0.0004885,0.0004885
33,393.073,0.95291,0.4313,0.8487,0.99097,0.99436,0.99491,0.74196,0.99134,0.42779,0.83555,0.000472,0.000472,0.000472
34,409.622,0.95571,0.42531,0.84953,0.99293,0.99191,0.99495,0.74039,0.99441,0.41902,0.83539,0.0004555,0.0004555,0.0004555
35,416.345,0.9461,0.42886,0.84931,0.99072,0.99318,0.99481,0.73865,0.99858,0.43281,0.83401,0.000439,0.000439,0.000439
36,432.884,0.94756,0.42246,0.84893,0.99361,0.99657,0.99494,0.73276,1.01528,0.41773,0.83824,0.0004225,0.0004225,0.0004225
37,439.546,0.94282,0.42243,0.84768,0.99656,0.99081,0.99493,0.74182,0.97957,0.4227,0.83384,0.000406,0.000406,0.000406
38,456.177,0.93803,0.42241,0.85111,0.9902,0.99403,0.99484,0.7338,0.9985,0.42102,0.83512,0.0003895,0.0003895,0.0003895
39,475.098,0.94647,0.42103,0.84937,0.99613,0.98286,0.99491,0.73864,0.99234,0.40825,0.83447,0.000373,0.000373,0.000373
40,492.915,0.92671,0.41816,0.84433,0.99134,0.99273,0.9949,0.74216,0.98793,0.41121,0.83353,0.0003565,0.0003565,0.0003565
41,500.704,0.93009,0.41661,0.84426,0.99786,0.98494,0.99491,0.74314,0.98954,0.41166,0.83427,0.00034,0.00034,0.00034
42,511.175,0.90805,0.40648,0.84822,0.99597,0.98498,0.99483,0.73861,0.98172,0.40848,0.83436,0.0003235,0.0003235,0.0003235
43,528.312,0.93288,0.40614,0.84632,0.99603,0.98601,0.99493,0.7467,0.977,0.40084,0.83386,0.000307,0.000307,0.000307
44,535.671,0.90932,0.40746,0.8414,0.99381,0.99682,0.99496,0.74259,0.99004,0.40995,0.83571,0.0002905,0.0002905,0.0002905
45,545.82,0.90008,0.39859,0.83965,0.9912,0.99556,0.9949,0.74183,0.99469,0.41126,0.83492,0.000274,0.000274,0.000274
46,562.264,0.88999,0.39564,0.83844,0.98922,0.99613,0.99488,0.74905,0.9867,0.39905,0.83423,0.0002575,0.0002575,0.0002575
47,569.292,0.90164,0.39659,0.8447,0.98811,0.99277,0.99486,0.7446,0.99162,0.40247,0.83498,0.000241,0.000241,0.000241
48,585.702,0.88735,0.39096,0.84001,0.99199,0.99478,0.99494,0.74236,1.00388,0.39181,0.83447,0.0002245,0.0002245,0.0002245
49,602.431,0.88807,0.38858,0.84239,0.99302,0.99454,0.995,0.75046,0.99136,0.39327,0.83466,0.000208,0.000208,0.000208
50,609.348,0.88256,0.38508,0.84321,0.99226,0.99541,0.99498,0.75081,0.98003,0.39677,0.83265,0.0001915,0.0001915,0.0001915
51,619.957,0.87143,0.37163,0.8302,0.99034,0.99587,0.9949,0.74691,0.96522,0.40299,0.83018,0.000175,0.000175,0.000175
52,636.835,0.86108,0.36628,0.82894,0.98863,0.99473,0.99484,0.73515,1.00269,0.395,0.83501,0.0001585,0.0001585,0.0001585
