epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.79791,2.38318,1.65618,0.97992,0.87688,0.803,0.82598,0.33644,2.01981,0.98847,0.89872,0.00047092,0.00047092,0.00047092
2,11.3455,1.99552,0.95519,0.88714,0.88031,0.85536,0.8877,0.3702,1.93644,0.89048,0.86543,0.000931624,0.000931624,0.000931624
3,16.7067,1.9751,0.90607,0.88238,0.88844,0.86859,0.88563,0.36654,1.87965,0.92509,0.85785,0.00137661,0.00137661,0.00137661
4,22.191,1.98915,0.94594,0.88483,0.85876,0.8723,0.88905,0.39499,1.87796,0.84792,0.86609,0.00135826,0.00135826,0.00135826
5,27.6413,1.94952,0.90489,0.8926,0.90467,0.88778,0.91812,0.40432,1.87093,0.87067,0.86415,0.00133469,0.00133469,0.00133469
6,33.0975,1.91036,0.87447,0.86718,0.91519,0.86972,0.90891,0.3695,1.92384,0.8483,0.86523,0.00131111,0.00131111,0.00131111
7,38.4951,1.89128,0.86593,0.86967,0.90939,0.8961,0.91525,0.3973,1.84296,0.88306,0.86034,0.00128753,0.00128753,0.00128753
8,43.8928,1.89261,0.83936,0.87829,0.90938,0.88701,0.89867,0.37456,1.93749,0.86107,0.86932,0.00126395,0.00126395,0.00126395
9,49.2786,1.8857,0.84592,0.87633,0.8884,0.88787,0.88071,0.36587,1.90919,0.88665,0.86559,0.00124037,0.00124037,0.00124037
10,54.7116,1.84631,0.85838,0.8747,0.90846,0.87601,0.90728,0.39454,1.888,0.86294,0.86324,0.00121679,0.00121679,0.00121679
11,60.1324,1.82535,0.82216,0.86822,0.9014,0.90184,0.89741,0.39437,1.80659,0.85331,0.85173,0.00119322,0.00119322,0.00119322
12,65.6197,1.85347,0.82385,0.87541,0.90358,0.90132,0.90189,0.41029,1.81825,0.8083,0.85392,0.00116964,0.00116964,0.00116964
13,71.0555,1.80634,0.79685,0.86165,0.93414,0.92073,0.93243,0.42469,1.76405,0.8005,0.85358,0.00114606,0.00114606,0.00114606
14,76.4802,1.81956,0.81495,0.86342,0.9269,0.91832,0.91758,0.42077,1.76566,0.82705,0.84853,0.00112248,0.00112248,0.00112248
15,81.8272,1.78506,0.80527,0.86424,0.93022,0.90607,0.92424,0.41614,1.7692,0.80591,0.85211,0.0010989,0.0010989,0.0010989
16,87.1976,1.82117,0.83002,0.85898,0.91963,0.91956,0.94059,0.42435,1.79249,0.82489,0.85243,0.00107532,0.00107532,0.00107532
17,92.5932,1.775,0.80745,0.86135,0.91236,0.91435,0.93302,0.43343,1.79592,0.77983,0.85159,0.00105174,0.00105174,0.00105174
18,98.0471,1.77271,0.79225,0.86166,0.90676,0.8944,0.90775,0.40357,1.82625,0.83389,0.8546,0.00102817,0.00102817,0.00102817
19,103.496,1.72701,0.76811,0.85642,0.92837,0.92164,0.92306,0.42069,1.75636,0.80165,0.85393,0.00100459,0.00100459,0.00100459
20,108.882,1.76171,0.7907,0.86259,0.93911,0.93154,0.94737,0.44372,1.75504,0.77383,0.84635,0.000981008,0.000981008,0.000981008
21,114.261,1.77239,0.79326,0.85859,0.9204,0.92203,0.92905,0.42602,1.79413,0.78946,0.85261,0.00095743,0.00095743,0.00095743
22,119.751,1.74708,0.81232,0.85371,0.92263,0.93143,0.93061,0.43218,1.75128,0.79348,0.85079,0.000933851,0.000933851,0.000933851
23,125.219,1.74058,0.77918,0.85492,0.92193,0.92164,0.91963,0.41483,1.74977,0.81915,0.84864,0.000910273,0.000910273,0.000910273
24,130.598,1.71615,0.76534,0.85759,0.94007,0.9192,0.92951,0.4323,1.77306,0.80166,0.85183,0.000886694,0.000886694,0.000886694
25,136.018,1.73846,0.7655,0.85901,0.93447,0.92314,0.93073,0.43752,1.72828,0.79368,0.84999,0.000863116,0.000863116,0.000863116
26,141.426,1.71573,0.76247,0.85546,0.93349,0.92377,0.9331,0.44309,1.75756,0.79723,0.84661,0.000839537,0.000839537,0.000839537
27,146.865,1.68349,0.76038,0.85088,0.92924,0.90852,0.91917,0.43038,1.74083,0.78116,0.84677,0.000815959,0.000815959,0.000815959
28,152.236,1.70961,0.74762,0.84688,0.93117,0.92306,0.92165,0.44974,1.73516,0.77159,0.85019,0.00079238,0.00079238,0.00079238
29,157.764,1.68848,0.74077,0.85401,0.94251,0.92451,0.93795,0.45598,1.72128,0.74811,0.84545,0.000768802,0.000768802,0.000768802
30,163.229,1.65302,0.76587,0.84935,0.93425,0.92616,0.94169,0.45714,1.71852,0.75003,0.84745,0.000745223,0.000745223,0.000745223
31,168.742,1.64041,0.72898,0.85159,0.93456,0.92678,0.92979,0.44593,1.71019,0.78891,0.84811,0.000721645,0.000721645,0.000721645
32,174.217,1.66394,0.74937,0.85224,0.94671,0.93371,0.94653,0.46256,1.70875,0.76479,0.84532,0.000698066,0.000698066,0.000698066
33,179.769,1.6834,0.74713,0.84799,0.9302,0.92456,0.93811,0.44565,1.7404,0.76724,0.84898,0.000674488,0.000674488,0.000674488
34,185.21,1.64396,0.76128,0.84174,0.94238,0.93347,0.94526,0.45633,1.71329,0.75591,0.84266,0.000650909,0.000650909,0.000650909
35,190.693,1.65659,0.73489,0.84895,0.93757,0.92291,0.93312,0.45686,1.69524,0.77797,0.84347,0.000627331,0.000627331,0.000627331
36,196.108,1.62581,0.7378,0.84514,0.95003,0.93717,0.95023,0.45647,1.70495,0.77019,0.84375,0.000603752,0.000603752,0.000603752
37,201.595,1.6438,0.74752,0.84564,0.93756,0.93173,0.93314,0.44962,1.69287,0.78568,0.84416,0.000580174,0.000580174,0.000580174
38,207.082,1.66338,0.71549,0.84687,0.94828,0.93629,0.94889,0.47698,1.68249,0.76391,0.84366,0.000556595,0.000556595,0.000556595
39,212.642,1.60957,0.71901,0.84482,0.94068,0.93729,0.94208,0.46573,1.68232,0.7568,0.84189,0.000533017,0.000533017,0.000533017
40,218.1,1.62907,0.73527,0.8493,0.94885,0.91899,0.94032,0.45763,1.67905,0.76438,0.84143,0.000509438,0.000509438,0.000509438
41,223.59,1.62339,0.71673,0.84817,0.95099,0.93635,0.94702,0.46888,1.69024,0.74892,0.84301,0.00048586,0.00048586,0.00048586
42,229.042,1.60243,0.71246,0.84477,0.95093,0.94266,0.95158,0.47361,1.68716,0.73143,0.84114,0.000462281,0.000462281,0.000462281
43,234.515,1.59563,0.71297,0.83827,0.95227,0.94052,0.94964,0.47773,1.67803,0.73371,0.84173,0.000438703,0.000438703,0.000438703
44,240.065,1.609,0.72638,0.85218,0.95415,0.92044,0.94778,0.47136,1.66662,0.73745,0.84334,0.000415124,0.000415124,0.000415124
45,245.508,1.61242,0.70403,0.84392,0.94922,0.92255,0.94213,0.46622,1.71918,0.73615,0.84452,0.000391546,0.000391546,0.000391546
46,250.993,1.59476,0.70379,0.84199,0.95901,0.94063,0.9564,0.47412,1.67658,0.7406,0.8419,0.000367967,0.000367967,0.000367967
47,256.47,1.61582,0.71956,0.84498,0.95973,0.9349,0.95601,0.47631,1.68822,0.7248,0.84274,0.000344389,0.000344389,0.000344389
48,262.004,1.58426,0.7022,0.84188,0.96378,0.93346,0.95591,0.47212,1.66018,0.74905,0.8404,0.00032081,0.00032081,0.00032081
49,267.54,1.59687,0.71121,0.84306,0.94436,0.93408,0.9378,0.46281,1.69428,0.75919,0.84144,0.000297232,0.000297232,0.000297232
50,273.095,1.58573,0.7104,0.84865,0.95162,0.9413,0.94954,0.48016,1.66134,0.73659,0.84015,0.000273654,0.000273654,0.000273654
51,279.25,1.54123,0.67816,0.8457,0.9543,0.93478,0.95261,0.47437,1.66776,0.71952,0.84054,0.000250075,0.000250075,0.000250075
52,284.879,1.55312,0.68661,0.84762,0.96071,0.93231,0.95582,0.48251,1.662,0.73047,0.83877,0.000226497,0.000226497,0.000226497
53,290.518,1.53957,0.69152,0.84625,0.95582,0.93801,0.95202,0.48628,1.64057,0.732,0.83819,0.000202918,0.000202918,0.000202918
54,296.102,1.51974,0.67878,0.847,0.96653,0.9449,0.96089,0.48928,1.64486,0.72592,0.83861,0.00017934,0.00017934,0.00017934
55,301.754,1.50999,0.6647,0.8436,0.95338,0.9418,0.95385,0.48478,1.65465,0.71776,0.83933,0.000155761,0.000155761,0.000155761
56,307.328,1.50295,0.65762,0.84508,0.95727,0.93476,0.95207,0.48731,1.6449,0.72153,0.83829,0.000132183,0.000132183,0.000132183
57,312.856,1.54163,0.67172,0.84397,0.96124,0.94235,0.95787,0.48792,1.64807,0.71403,0.83843,0.000108604,0.000108604,0.000108604
58,318.473,1.52437,0.67025,0.84259,0.96578,0.93992,0.95955,0.49301,1.64678,0.69977,0.83821,8.50255e-05,8.50255e-05,8.50255e-05
59,324.159,1.54244,0.67681,0.84398,0.96174,0.94206,0.9585,0.48928,1.64359,0.70894,0.8374,6.1447e-05,6.1447e-05,6.1447e-05
60,329.803,1.51522,0.6689,0.84003,0.96467,0.93947,0.96118,0.49137,1.64502,0.70081,0.83761,3.78685e-05,3.78685e-05,3.78685e-05
