epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02285,2.34368,2.24346,1.18609,0.86921,0.79882,0.87321,0.43274,1.74923,1.03454,0.93543,0.000471041,0.000471041,0.000471041
2,26.3965,1.67559,1.00807,0.96765,0.90907,0.8663,0.91827,0.43937,1.62358,0.93251,0.87819,0.000931742,0.000931742,0.000931742
3,40.5718,1.54883,0.8828,0.92267,0.92306,0.85215,0.91684,0.44562,1.64174,0.87521,0.86868,0.00137673,0.00137673,0.00137673
4,48.4956,1.48196,0.83031,0.9098,0.9397,0.8957,0.94834,0.51817,1.47632,0.76606,0.85741,0.00135826,0.00135826,0.00135826
5,58.0753,1.44265,0.79912,0.8965,0.93088,0.90228,0.94324,0.49747,1.5353,0.84233,0.8531,0.00133469,0.00133469,0.00133469
6,74.1982,1.4128,0.77629,0.8953,0.94021,0.87977,0.95064,0.5335,1.42016,0.73167,0.84526,0.00131111,0.00131111,0.00131111
7,80.8989,1.37974,0.75246,0.88831,0.92994,0.93092,0.95353,0.51083,1.45801,0.78645,0.84661,0.00128753,0.00128753,0.00128753
8,97.4045,1.38246,0.75386,0.88521,0.93314,0.93076,0.95931,0.50812,1.47089,0.7764,0.8444,0.00126395,0.00126395,0.00126395
9,113.634,1.34197,0.72615,0.88007,0.93775,0.9329,0.96582,0.51893,1.43729,0.73686,0.83639,0.00124037,0.00124037,0.00124037
10,119.962,1.33362,0.7276,0.88116,0.93403,0.95311,0.96893,0.57486,1.31502,0.70222,0.82845,0.00121679,0.00121679,0.00121679
11,136.246,1.3023,0.68646,0.87681,0.95124,0.94363,0.96784,0.57628,1.30398,0.67717,0.82495,0.00119322,0.00119322,0.00119322
12,142.503,1.30597,0.69678,0.87251,0.94632,0.93085,0.95932,0.52274,1.49293,0.7699,0.83895,0.00116964,0.00116964,0.00116964
13,158.281,1.29799,0.68216,0.8739,0.95373,0.94579,0.97327,0.54122,1.45107,0.75455,0.83789,0.00114606,0.00114606,0.00114606
14,170.623,1.28124,0.6864,0.8688,0.93765,0.9519,0.97115,0.56668,1.33678,0.67962,0.8299,0.00112248,0.00112248,0.00112248
15,180.227,1.28948,0.67882,0.8778,0.93742,0.94918,0.97046,0.54295,1.40815,0.71342,0.83318,0.0010989,0.0010989,0.0010989
16,189.504,1.26826,0.67469,0.86952,0.95412,0.92965,0.9674,0.56205,1.33566,0.7005,0.82349,0.00107532,0.00107532,0.00107532
17,201.77,1.2518,0.65872,0.86588,0.95285,0.95175,0.97401,0.58582,1.28719,0.66154,0.81966,0.00105174,0.00105174,0.00105174
18,211.596,1.24535,0.64929,0.86069,0.95291,0.92884,0.96811,0.5634,1.34367,0.67515,0.82508,0.00102817,0.00102817,0.00102817
19,220.829,1.23784,0.6494,0.86985,0.94008,0.93869,0.97001,0.5316,1.41922,0.72108,0.83321,0.00100459,0.00100459,0.00100459
20,233.689,1.23598,0.63732,0.8622,0.94982,0.93697,0.96875,0.57402,1.27839,0.6644,0.82191,0.000981008,0.000981008,0.000981008
21,242.754,1.21028,0.6261,0.86439,0.93218,0.94853,0.96875,0.58296,1.2955,0.69435,0.82463,0.00095743,0.00095743,0.00095743
22,252.083,1.20868,0.6324,0.86025,0.95999,0.94878,0.97419,0.58365,1.29443,0.66406,0.81976,0.000933851,0.000933851,0.000933851
23,266.424,1.22798,0.62186,0.86386,0.93171,0.96325,0.96966,0.58909,1.24824,0.66884,0.82037,0.000910273,0.000910273,0.000910273
24,274.579,1.19206,0.61885,0.8598,0.94886,0.96249,0.97944,0.61725,1.24828,0.65643,0.81692,0.000886694,0.000886694,0.000886694
25,283.91,1.18554,0.61852,0.85799,0.94526,0.95645,0.97368,0.58861,1.28836,0.6782,0.81915,0.000863116,0.000863116,0.000863116
26,299.271,1.18506,0.60044,0.86219,0.93845,0.95922,0.9716,0.5889,1.26985,0.64463,0.81814,0.000839537,0.000839537,0.000839537
27,305.823,1.18548,0.60105,0.85462,0.9501,0.9621,0.97231,0.59172,1.28039,0.65432,0.82108,0.000815959,0.000815959,0.000815959
28,315.18,1.18576,0.59999,0.85899,0.94631,0.95793,0.97434,0.5715,1.24176,0.66862,0.81497,0.00079238,0.00079238,0.00079238
29,331.3,1.18747,0.60549,0.85731,0.9514,0.94231,0.96757,0.58044,1.28592,0.66744,0.8198,0.000768802,0.000768802,0.000768802
30,337.336,1.15688,0.59121,0.85081,0.95236,0.95702,0.97532,0.60851,1.24103,0.64557,0.81823,0.000745223,0.000745223,0.000745223
31,349.78,1.17593,0.59269,0.86071,0.94391,0.96562,0.97775,0.61465,1.268,0.61844,0.81728,0.000721645,0.000721645,0.000721645
32,362.017,1.15903,0.58817,0.85736,0.94885,0.96579,0.97244,0.6224,1.2175,0.60796,0.81239,0.000698066,0.000698066,0.000698066
33,371.745,1.17727,0.59089,0.85812,0.9548,0.95679,0.97694,0.61942,1.20153,0.61655,0.81242,0.000674488,0.000674488,0.000674488
34,381.018,1.12804,0.57913,0.85007,0.95535,0.95593,0.97837,0.60971,1.25161,0.63172,0.81553,0.000650909,0.000650909,0.000650909
35,394.818,1.14153,0.57435,0.85131,0.95328,0.96621,0.97515,0.60942,1.23213,0.61756,0.81352,0.000627331,0.000627331,0.000627331
36,405.772,1.15263,0.57454,0.85277,0.95598,0.954,0.97593,0.61673,1.21289,0.60488,0.81063,0.000603752,0.000603752,0.000603752
37,415.048,1.12596,0.55995,0.85135,0.95238,0.95576,0.97578,0.59294,1.26893,0.61617,0.81753,0.000580174,0.000580174,0.000580174
38,426.341,1.14235,0.58539,0.85229,0.95069,0.9731,0.97614,0.60364,1.22249,0.63313,0.81307,0.000556595,0.000556595,0.000556595
39,436.987,1.13321,0.55841,0.84589,0.94941,0.9679,0.97776,0.6329,1.17902,0.58006,0.81029,0.000533017,0.000533017,0.000533017
40,446.496,1.12496,0.57492,0.84607,0.94466,0.96432,0.9726,0.62302,1.18728,0.57845,0.80767,0.000509438,0.000509438,0.000509438
41,458.997,1.12325,0.56093,0.84997,0.94753,0.95861,0.97406,0.608,1.21078,0.61486,0.81162,0.00048586,0.00048586,0.00048586
42,468.596,1.1132,0.55178,0.84481,0.95424,0.9558,0.97442,0.61589,1.19004,0.60902,0.80802,0.000462281,0.000462281,0.000462281
43,477.755,1.1041,0.55141,0.85018,0.95508,0.96606,0.97495,0.62258,1.18047,0.59143,0.8097,0.000438703,0.000438703,0.000438703
44,490.05,1.11158,0.55713,0.85026,0.95601,0.95473,0.973,0.60716,1.20004,0.61062,0.81051,0.000415124,0.000415124,0.000415124
45,500.021,1.10122,0.54363,0.84461,0.95754,0.95517,0.97292,0.6337,1.15984,0.58578,0.80782,0.000391546,0.000391546,0.000391546
46,509.543,1.08792,0.53667,0.84674,0.95376,0.96324,0.97673,0.63347,1.14928,0.56809,0.80677,0.000367967,0.000367967,0.000367967
47,525.013,1.08236,0.53819,0.84546,0.96452,0.95231,0.97604,0.63614,1.16808,0.57902,0.80653,0.000344389,0.000344389,0.000344389
