epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49824,1.66734,0.74947,0.83989,0.90701,0.87724,0.90895,0.42907,1.70478,0.75158,0.84391,0.000472227,0.000472227,0.000472227
2,26.7095,1.69956,0.76564,0.84269,0.9306,0.85651,0.91977,0.42739,1.7401,0.77848,0.845,0.000932909,0.000932909,0.000932909
3,40.4529,1.7545,0.79697,0.84905,0.88654,0.8584,0.88279,0.36491,1.89394,0.81678,0.85678,0.00137787,0.00137787,0.00137787
4,54.6211,1.78598,0.82042,0.85008,0.91268,0.87169,0.90096,0.39888,1.80484,0.82064,0.85356,0.00135826,0.00135826,0.00135826
5,65.4631,1.77868,0.80901,0.85107,0.89911,0.86453,0.90767,0.40257,1.79625,0.81769,0.85319,0.00133469,0.00133469,0.00133469
6,82.9462,1.78926,0.83443,0.85006,0.88997,0.88447,0.89318,0.382,1.8353,0.87795,0.8504,0.00131111,0.00131111,0.00131111
7,90.4875,1.77864,0.80367,0.85869,0.91464,0.83426,0.90182,0.40945,1.73851,0.7905,0.84693,0.00128753,0.00128753,0.00128753
8,101.457,1.77687,0.8099,0.8484,0.91124,0.86661,0.90744,0.385,1.80477,0.8283,0.84963,0.00126395,0.00126395,0.00126395
9,112.336,1.76992,0.80152,0.85013,0.89527,0.86483,0.90877,0.42255,1.75758,0.77857,0.84713,0.00124037,0.00124037,0.00124037
10,129.814,1.78813,0.78384,0.85024,0.87492,0.85587,0.8974,0.39477,1.84936,0.812,0.85152,0.00121679,0.00121679,0.00121679
11,137.699,1.75833,0.79608,0.84528,0.91842,0.86572,0.92218,0.41338,1.7758,0.81328,0.84874,0.00119322,0.00119322,0.00119322
12,158.755,1.77057,0.79992,0.84875,0.91777,0.90552,0.93072,0.41039,1.77848,0.78997,0.84821,0.00116964,0.00116964,0.00116964
13,169.899,1.75152,0.80587,0.84916,0.9309,0.8825,0.92468,0.41845,1.73858,0.79483,0.84836,0.00114606,0.00114606,0.00114606
14,187.567,1.76488,0.77402,0.84515,0.93074,0.87958,0.92351,0.42175,1.76255,0.78917,0.84796,0.00112248,0.00112248,0.00112248
15,198.475,1.74928,0.78002,0.85015,0.91361,0.89631,0.92468,0.42993,1.75851,0.75995,0.84714,0.0010989,0.0010989,0.0010989
16,212.959,1.7377,0.79037,0.84517,0.90322,0.8886,0.93163,0.44102,1.71454,0.77122,0.84343,0.00107532,0.00107532,0.00107532
17,231.425,1.69656,0.7649,0.84587,0.92469,0.90936,0.93165,0.42858,1.7577,0.79644,0.84828,0.00105174,0.00105174,0.00105174
18,239.28,1.69952,0.77208,0.84374,0.92738,0.87033,0.92504,0.43134,1.75234,0.77099,0.84464,0.00102817,0.00102817,0.00102817
19,250.538,1.72428,0.77469,0.84689,0.91939,0.88013,0.93164,0.43099,1.74653,0.77588,0.84607,0.00100459,0.00100459,0.00100459
20,261.643,1.71894,0.75748,0.84098,0.92889,0.89369,0.92741,0.44063,1.70616,0.75598,0.84568,0.000981008,0.000981008,0.000981008
21,272.81,1.71236,0.76104,0.84321,0.91146,0.87683,0.92861,0.43481,1.71388,0.79215,0.84485,0.00095743,0.00095743,0.00095743
22,290.471,1.6922,0.76078,0.83921,0.92165,0.866,0.92015,0.4328,1.73881,0.75482,0.84483,0.000933851,0.000933851,0.000933851
23,298.247,1.71266,0.7542,0.8418,0.93475,0.83546,0.92626,0.43403,1.70139,0.75005,0.84195,0.000910273,0.000910273,0.000910273
24,312.694,1.69283,0.75299,0.84515,0.93047,0.89163,0.93972,0.4432,1.74194,0.73896,0.8464,0.000886694,0.000886694,0.000886694
25,323.861,1.67566,0.74734,0.836,0.91625,0.87351,0.92549,0.43132,1.73777,0.76304,0.84564,0.000863116,0.000863116,0.000863116
26,341.681,1.66864,0.75273,0.84468,0.93603,0.87506,0.93378,0.43897,1.74666,0.73943,0.84292,0.000839537,0.000839537,0.000839537
27,352.258,1.68292,0.73496,0.84105,0.9298,0.89398,0.93868,0.44981,1.69949,0.74557,0.84417,0.000815959,0.000815959,0.000815959
28,359.237,1.68663,0.75236,0.84157,0.92631,0.89109,0.9333,0.43845,1.74324,0.75752,0.84585,0.00079238,0.00079238,0.00079238
29,365.951,1.67568,0.74732,0.83876,0.93379,0.87604,0.93494,0.4469,1.71171,0.72192,0.84383,0.000768802,0.000768802,0.000768802
30,372.737,1.66523,0.74084,0.84556,0.94136,0.87028,0.93066,0.44724,1.67343,0.76051,0.84244,0.000745223,0.000745223,0.000745223
31,379.539,1.64459,0.73405,0.83706,0.9288,0.86245,0.93013,0.45334,1.72299,0.74094,0.84371,0.000721645,0.000721645,0.000721645
32,386.437,1.66933,0.7449,0.84052,0.93731,0.86391,0.92829,0.44246,1.71651,0.73497,0.84214,0.000698066,0.000698066,0.000698066
33,393.296,1.67533,0.74203,0.84648,0.93504,0.86337,0.92905,0.45083,1.67502,0.72268,0.84228,0.000674488,0.000674488,0.000674488
34,400.165,1.68344,0.72378,0.83917,0.92357,0.88147,0.93483,0.4415,1.7161,0.74927,0.84216,0.000650909,0.000650909,0.000650909
35,406.963,1.62081,0.73508,0.83908,0.93577,0.86003,0.93223,0.44723,1.73485,0.72193,0.8444,0.000627331,0.000627331,0.000627331
36,413.751,1.63937,0.71067,0.83615,0.92334,0.87193,0.92396,0.45425,1.69269,0.73922,0.8407,0.000603752,0.000603752,0.000603752
37,420.698,1.63537,0.73118,0.83676,0.94433,0.87277,0.93667,0.46341,1.66249,0.72157,0.84027,0.000580174,0.000580174,0.000580174
38,427.616,1.61471,0.71048,0.83648,0.93319,0.86911,0.93598,0.45635,1.71706,0.72422,0.84415,0.000556595,0.000556595,0.000556595
39,434.482,1.64331,0.7281,0.83341,0.92521,0.87536,0.93217,0.45744,1.69379,0.7469,0.84327,0.000533017,0.000533017,0.000533017
40,441.21,1.6196,0.70978,0.83674,0.9192,0.88656,0.93938,0.46482,1.68437,0.74595,0.84208,0.000509438,0.000509438,0.000509438
41,448.137,1.61204,0.69774,0.83847,0.93681,0.88542,0.93148,0.45655,1.65856,0.75519,0.84056,0.00048586,0.00048586,0.00048586
42,454.966,1.5823,0.7076,0.83331,0.93592,0.87589,0.93746,0.46768,1.66175,0.72188,0.84211,0.000462281,0.000462281,0.000462281
43,461.915,1.62623,0.70633,0.83624,0.9366,0.86822,0.93256,0.46288,1.65889,0.74349,0.84052,0.000438703,0.000438703,0.000438703
44,468.719,1.60834,0.72598,0.83351,0.93351,0.87365,0.93163,0.46894,1.65589,0.71876,0.84054,0.000415124,0.000415124,0.000415124
45,475.659,1.59586,0.70302,0.83659,0.92377,0.90127,0.94369,0.46762,1.67265,0.72952,0.83989,0.000391546,0.000391546,0.000391546
46,482.698,1.5856,0.70733,0.83317,0.94085,0.88644,0.94519,0.46872,1.66561,0.71796,0.84018,0.000367967,0.000367967,0.000367967
47,489.788,1.58035,0.7035,0.83878,0.92817,0.88879,0.94216,0.45955,1.6605,0.7466,0.83971,0.000344389,0.000344389,0.000344389
48,496.708,1.59744,0.71668,0.83767,0.93156,0.87276,0.9363,0.47031,1.65394,0.71767,0.83979,0.00032081,0.00032081,0.00032081
49,503.796,1.58623,0.68342,0.82987,0.93368,0.88678,0.94167,0.47335,1.6542,0.71614,0.8398,0.000297232,0.000297232,0.000297232
50,510.923,1.59682,0.69276,0.82932,0.93329,0.88421,0.94453,0.46672,1.65993,0.71323,0.84141,0.000273654,0.000273654,0.000273654
51,518.328,1.56202,0.68503,0.83844,0.94387,0.88398,0.94406,0.46417,1.68927,0.71963,0.84249,0.000250075,0.000250075,0.000250075
52,525.264,1.55288,0.67549,0.83589,0.93418,0.87447,0.93721,0.46825,1.65054,0.71102,0.83985,0.000226497,0.000226497,0.000226497
53,532.309,1.56101,0.69208,0.83653,0.94712,0.86911,0.94285,0.4542,1.70062,0.71713,0.84215,0.000202918,0.000202918,0.000202918
54,539.32,1.55225,0.68277,0.83626,0.93952,0.87107,0.9414,0.46782,1.6642,0.71306,0.83992,0.00017934,0.00017934,0.00017934
55,546.304,1.53526,0.67376,0.83704,0.94492,0.86733,0.94108,0.47155,1.64759,0.70905,0.83917,0.000155761,0.000155761,0.000155761
56,553.261,1.53631,0.66628,0.84102,0.93985,0.87206,0.9434,0.47392,1.64428,0.70158,0.83958,0.000132183,0.000132183,0.000132183
57,560.239,1.53773,0.67535,0.84048,0.93219,0.88192,0.94519,0.47558,1.64283,0.70175,0.8385,0.000108604,0.000108604,0.000108604
58,567.36,1.51949,0.6675,0.82938,0.9388,0.87948,0.9424,0.47504,1.6427,0.70299,0.83895,8.50255e-05,8.50255e-05,8.50255e-05
59,574.29,1.51906,0.66572,0.83475,0.94667,0.87336,0.94273,0.47643,1.64987,0.70639,0.83882,6.1447e-05,6.1447e-05,6.1447e-05
