epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.09892,2.40134,1.61524,0.93566,0.80648,0.84683,0.82185,0.29092,2.20006,1.00042,0.87377,0.000467512,0.000467512,0.000467512
2,7.57446,2.01465,0.86459,0.85167,0.86303,0.8611,0.84878,0.35456,1.97483,0.89097,0.8581,0.000925158,0.000925158,0.000925158
3,10.8471,1.94861,0.81235,0.84766,0.86288,0.87929,0.87476,0.37037,1.89177,0.8205,0.85594,0.00136394,0.00136394,0.00136394
4,14.1305,1.94081,0.80469,0.84657,0.89564,0.85903,0.91527,0.37179,2.07342,0.86703,0.86186,0.00134412,0.00134412,0.00134412
5,17.4697,1.92436,0.7912,0.84923,0.90296,0.89515,0.87383,0.3765,1.8568,0.92024,0.85431,0.00131582,0.00131582,0.00131582
6,20.8315,1.87548,0.78357,0.84602,0.88096,0.87857,0.85112,0.34034,2.02707,0.95162,0.86051,0.00128753,0.00128753,0.00128753
7,24.1014,1.87318,0.75796,0.84643,0.90174,0.88086,0.88534,0.36586,1.92247,0.86932,0.85296,0.00125923,0.00125923,0.00125923
8,27.4227,1.90943,0.7782,0.84521,0.90641,0.90635,0.90965,0.39322,1.86726,0.81668,0.8518,0.00123094,0.00123094,0.00123094
9,30.9053,1.87609,0.76363,0.84304,0.92612,0.91189,0.92927,0.42086,1.79278,0.74393,0.84586,0.00120265,0.00120265,0.00120265
10,34.3246,1.84396,0.73347,0.8461,0.91928,0.9256,0.92345,0.38956,1.93279,0.88386,0.85502,0.00117435,0.00117435,0.00117435
11,37.668,1.86838,0.75153,0.84364,0.90105,0.93307,0.92646,0.43971,1.76853,0.7997,0.84566,0.00114606,0.00114606,0.00114606
12,40.9558,1.8061,0.74693,0.83944,0.92777,0.92373,0.93761,0.4246,1.81609,0.78542,0.84658,0.00111776,0.00111776,0.00111776
13,44.2534,1.77182,0.72848,0.83333,0.92433,0.94286,0.93967,0.43915,1.79029,0.79157,0.84497,0.00108947,0.00108947,0.00108947
14,47.5453,1.81681,0.7437,0.84233,0.93182,0.915,0.92378,0.41962,1.80193,0.84068,0.84631,0.00106118,0.00106118,0.00106118
15,50.9108,1.76494,0.72951,0.83131,0.92551,0.942,0.95104,0.45296,1.78255,0.77389,0.84505,0.00103288,0.00103288,0.00103288
16,54.2336,1.73209,0.70844,0.83074,0.9404,0.93336,0.936,0.44436,1.72636,0.7865,0.84313,0.00100459,0.00100459,0.00100459
17,57.5205,1.77258,0.71558,0.83557,0.9502,0.93478,0.95598,0.44821,1.79171,0.73336,0.84678,0.000976293,0.000976293,0.000976293
18,60.7699,1.76372,0.70943,0.83376,0.94019,0.93492,0.93411,0.44002,1.77885,0.77054,0.84585,0.000947999,0.000947999,0.000947999
19,64.0358,1.76978,0.71708,0.83908,0.94279,0.91754,0.93194,0.44594,1.78566,0.77754,0.84412,0.000919704,0.000919704,0.000919704
20,67.3291,1.72016,0.70686,0.83454,0.92374,0.93469,0.9464,0.44677,1.81509,0.74773,0.84496,0.00089141,0.00089141,0.00089141
21,70.6964,1.71886,0.70523,0.82983,0.94106,0.92047,0.93652,0.44651,1.81746,0.77189,0.84898,0.000863116,0.000863116,0.000863116
22,73.9524,1.73993,0.69524,0.83127,0.93594,0.93873,0.95055,0.46285,1.80334,0.75342,0.84559,0.000834822,0.000834822,0.000834822
23,77.4059,1.69082,0.68088,0.82878,0.93594,0.92937,0.93555,0.45863,1.7525,0.75059,0.84286,0.000806528,0.000806528,0.000806528
24,80.6667,1.67405,0.67312,0.82451,0.96117,0.95288,0.96824,0.47782,1.78895,0.7549,0.84694,0.000778233,0.000778233,0.000778233
25,83.9782,1.68945,0.67799,0.83442,0.94419,0.94975,0.95178,0.47568,1.73991,0.72976,0.84777,0.000749939,0.000749939,0.000749939
26,87.2873,1.70538,0.69207,0.82743,0.92603,0.93217,0.94022,0.45619,1.73973,0.74601,0.84321,0.000721645,0.000721645,0.000721645
27,90.6566,1.69367,0.67078,0.8197,0.92384,0.92322,0.94243,0.46938,1.74718,0.73996,0.8387,0.000693351,0.000693351,0.000693351
28,93.9944,1.6864,0.68938,0.83061,0.95256,0.93701,0.94978,0.46647,1.71011,0.7275,0.84156,0.000665057,0.000665057,0.000665057
29,97.3217,1.66782,0.67202,0.82476,0.95506,0.93354,0.95638,0.47343,1.74886,0.68699,0.84172,0.000636762,0.000636762,0.000636762
30,100.583,1.64392,0.66391,0.82897,0.95087,0.94713,0.96671,0.48205,1.75227,0.70793,0.84059,0.000608468,0.000608468,0.000608468
31,103.873,1.67258,0.65475,0.83078,0.9498,0.93932,0.95055,0.47046,1.71324,0.73017,0.84128,0.000580174,0.000580174,0.000580174
32,107.153,1.65902,0.65276,0.82374,0.96119,0.94795,0.96306,0.48971,1.72273,0.72,0.84149,0.00055188,0.00055188,0.00055188
33,110.599,1.65922,0.66242,0.83006,0.96027,0.9491,0.96213,0.4863,1.69562,0.7247,0.83931,0.000523586,0.000523586,0.000523586
34,113.929,1.62657,0.64958,0.82531,0.94025,0.94204,0.95142,0.47207,1.74472,0.73749,0.84237,0.000495291,0.000495291,0.000495291
35,117.247,1.61614,0.65218,0.8224,0.94265,0.94021,0.95535,0.48268,1.72203,0.74458,0.83954,0.000466997,0.000466997,0.000466997
36,120.539,1.61573,0.64336,0.82906,0.95692,0.94714,0.9645,0.48933,1.72029,0.69118,0.83975,0.000438703,0.000438703,0.000438703
